Date and Time,Description,Reference No.,Debit,Credit,Balance
6/13/2025 12:06,Payment to KURO GAMES,308625997,846.99,,639.13
6/15/2025 6:09,Transfer from Others_Number to My_Number,9.02971E+12,,200,839.13
6/16/2025 15:40,Payment to Bancnet P2M Send,320949266,99,,740.13
6/16/2025 15:44,Transfer from Others_Number to My_Number,29738254293,,100,840.13
6/16/2025 15:44,Payment to Bancnet P2M Send,320943123,226,,614.13
6/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P37BA488FA",320849627,75,,539.13
6/17/2025 17:49,Transfer from Others_Number to My_Number,7.02978E+12,,100,639.13
6/21/2025 12:30,Buy Load Transaction for My_Number,338467032,102,,537.13
6/23/2025 17:49,Buy Load Transaction for Others_Number,346881465,22,,515.13
7/1/2025 17:02,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03022E+12,,1000,1515.13
7/5/2025 17:21,Payment to Lapakgaming PH,607779714,217.18,,1297.95
7/8/2025 16:14,Payment to Xsolla,302489807,269,,1028.95
7/10/2025 20:28,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03053E+12,,2000,3028.95
7/10/2025 20:32,Transfer from My_Number to Others_Number,3.03053E+12,2000,,1028.95
7/11/2025 14:19,Payment to COGNOSPHERE PTE. LTD,312667045,799,,229.95
7/11/2025 16:01,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03056E+12,,25000,25229.95
7/11/2025 16:02,Payment to Bancnet P2M Send,312969660,24039.6,,1190.35
7/14/2025 13:43,Payment to Xsolla,323443283,269,,921.35
7/14/2025 16:12,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03065E+12,,4000,4921.35
7/14/2025 16:13,Transfer from My_Number to Others_Number,3.03065E+12,3800,,1121.35
7/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P38A06CF0C",330997476,75,,1046.35
7/21/2025 12:51,Transfer from My_Number to Others_Number,3.03088E+12,300,,746.35
7/27/2025 15:46,Transfer from My_Number to Others_Number,3.03107E+12,150,,596.35
7/27/2025 18:43,Transfer from My_Number to Others_Number,3.03107E+12,260,,336.35
7/27/2025 20:14,Transfer from My_Number to Others_Number,3.03108E+12,130,,206.35
7/31/2025 13:26,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03119E+12,,7500,7706.35
